alpha,z,series_value,hybrid_value,series_is_finite,hybrid_is_finite
1.35,-64.0,-0.004047811031341553,-0.005013930893422398,True,True
1.35,-65.0,-0.003985047340393066,-0.004936093505296403,True,True
1.35,-66.0,-0.003924131393432617,-0.004860637015765575,True,True
1.35,-67.0,-0.003865957260131836,-0.004787456890485849,True,True
1.35,-68.0,-0.003809690475463867,-0.004716453656028139,True,True
1.35,-69.0,-0.0037560462951660156,-0.00464753276339736,True,True
1.35,-70.0,-0.003704071044921875,-0.004580604442248768,True,True
1.35,-71.0,-0.00365447998046875,-0.004515583541925051,True,True
1.35,-72.0,-0.00360870361328125,-0.004452389358664669,True,True
1.35,-73.0,-0.003566741943359375,-0.004390945450417665,True,True
1.35,-74.0,-0.0035266876220703125,-0.004331179441922736,True,True
1.35,-75.0,-0.003490447998046875,-0.004273022823278298,True,True
1.35,-76.0,-0.0034656524658203125,-0.004216410745368773,True,True
1.35,-77.0,-0.003437042236328125,-0.004161281815335087,True,True
1.35,-78.0,-0.003421783447265625,-0.004107577894921441,True,True
1.35,-79.0,-0.00341796875,-0.00405524390407556,True,True
1.35,-80.0,-0.003414154052734375,-0.004004227631689822,True,True
