experiment,time_h,depth_m,temperature_k,inflow_1e-5_kg_s,inlet_temperature_k,column_height_m,vwc
1,0.55,0.3,364.65,8.33,423.15,0.3,0.0
1,0.5666666666666667,0.03,298.65,8.33,423.15,0.3,0.0
1,0.5666666666666667,0.06,298.15,8.33,423.15,0.3,0.0
1,0.5666666666666667,0.09,297.65,8.33,423.15,0.3,0.0
1,0.5666666666666667,0.12,297.65,8.33,423.15,0.3,0.0
1,0.5666666666666667,0.15,298.4,8.33,423.15,0.3,0.0
1,0.5666666666666667,0.18,298.4,8.33,423.15,0.3,0.0
1,0.5666666666666667,0.21,299.4,8.33,423.15,0.3,0.0
1,0.5666666666666667,0.24,341.4,8.33,423.15,0.3,0.0
1,0.5666666666666667,0.27,358.65,8.33,423.15,0.3,0.0
1,0.5666666666666667,0.3,364.65,8.33,423.15,0.3,0.0
1,0.5833333333333334,0.03,299.15,8.33,423.15,0.3,0.0
1,0.5833333333333334,0.06,298.15,8.33,423.15,0.3,0.0
1,0.5833333333333334,0.09,297.9,8.33,423.15,0.3,0.0
1,0.5833333333333334,0.12,297.65,8.33,423.15,0.3,0.0
1,0.5833333333333334,0.15,298.4,8.33,423.15,0.3,0.0
1,0.5833333333333334,0.18,297.9,8.33,423.15,0.3,0.0
1,0.5833333333333334,0.21,299.65,8.33,423.15,0.3,0.0
1,0.5833333333333334,0.24,342.65,8.33,423.15,0.3,0.0
1,0.5833333333333334,0.27,359.4,8.33,423.15,0.3,0.0
1,0.5833333333333334,0.3,364.9,8.33,423.15,0.3,0.0
1,0.6,0.03,299.15,8.33,423.15,0.3,0.0
1,0.6,0.06,298.4,8.33,423.15,0.3,0.0
1,0.6,0.09,297.4,8.33,423.15,0.3,0.0
1,0.6,0.12,298.15,8.33,423.15,0.3,0.0
1,0.6,0.15,298.4,8.33,423.15,0.3,0.0
1,0.6,0.18,298.4,8.33,423.15,0.3,0.0
1,0.6,0.21,299.4,8.33,423.15,0.3,0.0
1,0.6,0.24,344.15,8.33,423.15,0.3,0.0
1,0.6,0.27,359.9,8.33,423.15,0.3,0.0
1,0.6,0.3,365.65,8.33,423.15,0.3,0.0
1,0.6166666666666667,0.03,299.15,8.33,423.15,0.3,0.0
1,0.6166666666666667,0.06,298.4,8.33,423.15,0.3,0.0
1,0.6166666666666667,0.09,297.9,8.33,423.15,0.3,0.0
1,0.6166666666666667,0.12,298.4,8.33,423.15,0.3,0.0
1,0.6166666666666667,0.15,297.9,8.33,423.15,0.3,0.0
1,0.6166666666666667,0.18,298.65,8.33,423.15,0.3,0.0
1,0.6166666666666667,0.21,299.9,8.33,423.15,0.3,0.0
1,0.6166666666666667,0.24,345.65,8.33,423.15,0.3,0.0
1,0.6166666666666667,0.27,360.15,8.33,423.15,0.3,0.0
1,0.6166666666666667,0.3,365.9,8.33,423.15,0.3,0.0
1,0.6333333333333333,0.03,298.65,8.33,423.15,0.3,0.0
1,0.6333333333333333,0.06,298.15,8.33,423.15,0.3,0.0
1,0.6333333333333333,0.09,297.9,8.33,423.15,0.3,0.0
1,0.6333333333333333,0.12,297.9,8.33,423.15,0.3,0.0
1,0.6333333333333333,0.15,297.9,8.33,423.15,0.3,0.0
1,0.6333333333333333,0.18,298.15,8.33,423.15,0.3,0.0
1,0.6333333333333333,0.21,300.4,8.33,423.15,0.3,0.0
1,0.6333333333333333,0.24,346.9,8.33,423.15,0.3,0.0
1,0.6333333333333333,0.27,360.9,8.33,423.15,0.3,0.0
1,0.6333333333333333,0.3,366.4,8.33,423.15,0.3,0.0
1,0.65,0.03,298.4,8.33,423.15,0.3,0.0
1,0.65,0.06,298.4,8.33,423.15,0.3,0.0
1,0.65,0.09,297.65,8.33,423.15,0.3,0.0
1,0.65,0.12,297.9,8.33,423.15,0.3,0.0
1,0.65,0.15,298.15,8.33,423.15,0.3,0.0
1,0.65,0.18,298.4,8.33,423.15,0.3,0.0
1,0.65,0.21,300.4,8.33,423.15,0.3,0.0
1,0.65,0.24,348.4,8.33,423.15,0.3,0.0
1,0.65,0.27,361.9,8.33,423.15,0.3,0.0
1,0.65,0.3,366.65,8.33,423.15,0.3,0.0
1,0.6666666666666666,0.03,298.9,8.33,423.15,0.3,0.0
1,0.6666666666666666,0.06,298.4,8.33,423.15,0.3,0.0
1,0.6666666666666666,0.09,297.65,8.33,423.15,0.3,0.0
1,0.6666666666666666,0.12,298.15,8.33,423.15,0.3,0.0
1,0.6666666666666666,0.15,297.9,8.33,423.15,0.3,0.0
1,0.6666666666666666,0.18,299.65,8.33,423.15,0.3,0.0
1,0.6666666666666666,0.21,305.4,8.33,423.15,0.3,0.0
1,0.6666666666666666,0.24,357.9,8.33,423.15,0.3,0.0
1,0.6666666666666666,0.27,368.9,8.33,423.15,0.3,0.0
1,0.6666666666666666,0.3,368.9,8.33,423.15,0.3,0.0
1,0.6833333333333333,0.03,298.9,8.33,423.15,0.3,0.0
1,0.6833333333333333,0.06,297.65,8.33,423.15,0.3,0.0
